datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu
2020-01-27,0,0,0,20,0,0,0,0,20,0
2020-01-28,0,0,0,28,0,0,0,0,8,0
2020-01-29,0,0,0,33,0,0,0,0,5,0
2020-01-30,0,0,0,34,0,0,0,0,1,0
2020-01-31,0,0,0,37,0,0,0,0,3,0
2020-02-01,0,0,0,38,0,0,0,0,1,0
2020-02-02,0,0,0,43,0,0,0,0,5,0
2020-02-03,0,0,0,48,0,0,0,0,5,0
2020-02-04,0,0,0,53,0,0,0,0,5,0
2020-02-05,0,0,0,53,0,0,0,0,0,0
2020-02-06,0,0,0,56,0,0,0,0,3,0
2020-02-07,0,0,0,62,0,0,0,0,6,0
2020-02-08,0,0,0,62,0,0,0,0,0,0
2020-02-09,0,0,0,64,0,0,0,0,2,0
2020-02-10,0,0,0,72,0,0,0,0,8,0
2020-02-11,0,0,0,74,0,0,0,0,2,0
2020-02-12,0,0,0,75,0,0,0,0,1,0
2020-02-13,0,0,0,76,0,0,0,0,1,0
2020-02-14,0,0,0,76,0,0,0,0,0,0
2020-02-15,0,0,0,77,0,0,0,0,1,0
2020-02-16,0,0,0,78,0,0,0,0,1,0
2020-02-17,0,0,0,80,0,0,0,0,2,0
2020-02-18,0,0,0,80,0,0,0,0,0,0
2020-02-19,0,0,0,82,0,0,0,0,2,0
2020-02-20,0,0,0,82,0,0,0,0,0,0
2020-02-21,0,0,0,82,0,0,0,0,0,0
2020-02-22,0,0,0,83,0,0,0,0,1,0
2020-02-23,0,0,0,86,0,0,0,0,3,0
2020-02-24,0,0,0,98,0,0,0,0,12,0
2020-02-25,0,0,0,112,0,0,0,0,14,0
2020-02-26,0,0,0,135,0,0,0,0,23,0
2020-02-27,0,0,0,170,0,0,0,0,35,0
2020-02-28,0,0,0,193,0,0,0,0,23,0
2020-02-29,0,0,0,200,0,0,0,0,7,0
2020-03-01,3,0,0,211,0,3,0,0,11,0
2020-03-02,3,0,0,262,0,0,0,0,51,0
2020-03-03,5,0,0,340,0,2,0,0,78,0
2020-03-04,6,0,0,407,0,1,0,0,67,0
2020-03-05,9,0,0,483,0,3,0,0,76,0
2020-03-06,20,0,0,594,0,11,0,0,111,0
2020-03-07,27,0,0,787,0,7,0,0,193,0
2020-03-08,33,0,0,928,0,6,0,0,141,0
2020-03-09,39,0,0,1193,0,6,0,0,265,0
2020-03-10,64,0,0,1358,0,25,0,0,165,0
2020-03-11,95,0,0,1816,0,31,0,0,458,0
2020-03-12,117,0,0,2353,0,22,0,0,537,0
2020-03-13,142,0,0,3198,0,25,0,0,845,0
2020-03-14,190,1,0,4184,0,48,1,0,986,0
2020-03-15,299,4,0,5212,0,109,3,0,1028,0
2020-03-16,384,4,0,6531,0,85,0,0,1319,0
2020-03-17,451,4,0,7825,0,67,0,0,1294,0
2020-03-18,561,5,0,9581,0,110,1,0,1756,0
2020-03-19,767,6,0,11840,0,206,1,0,2259,0
2020-03-20,891,9,0,13961,0,124,3,0,2121,0
2020-03-21,1050,14,0,15843,0,159,5,0,1882,0
2020-03-22,1165,14,1,17644,0,115,0,1,1801,0
2020-03-23,1291,19,1,19935,0,126,5,0,2291,0
2020-03-24,1476,23,3,22997,0,185,4,2,3062,0
2020-03-25,1768,28,10,27104,0,292,5,7,4107,0
2020-03-26,2027,38,10,31737,0,259,10,0,4633,0
2020-03-27,2404,53,12,37096,0,377,15,2,5359,0
2020-03-28,2667,61,17,41320,0,263,8,5,4224,0
2020-03-29,2826,79,23,44168,0,159,18,6,2848,0
2020-03-30,3010,109,28,49327,0,184,30,5,5159,0
2020-03-31,3315,131,35,55988,0,305,22,7,6661,0
2020-04-01,3598,177,43,62090,0,283,46,8,6102,0
2020-04-02,3866,219,49,68763,0,268,42,6,6673,0
2020-04-03,4199,287,57,76161,0,333,68,8,7398,0
2020-04-04,4482,333,66,81998,0,283,46,9,5837,0
2020-04-05,4599,375,74,86810,0,117,42,8,4812,0
2020-04-06,4835,473,82,93245,0,236,98,8,6435,0
2020-04-07,5031,595,92,101418,0,196,122,10,8173,0
2020-04-08,5325,710,107,109887,0,294,115,15,8469,0
2020-04-09,5582,893,117,118067,0,257,183,10,8180,0
2020-04-10,5745,1042,128,123769,0,163,149,11,5702,0
2020-04-11,5915,1178,136,128660,0,170,136,8,4891,0
2020-04-12,6004,1290,146,131910,0,89,112,10,3250,0
2020-04-13,6072,1417,157,135125,0,68,127,11,3215,0
2020-04-14,6154,1617,166,141298,0,82,200,9,6173,0
2020-04-15,6314,1829,166,149774,0,160,212,0,8476,0
2020-04-16,6446,2107,168,158155,0,132,278,2,8381,0
2020-04-17,6562,2435,176,166443,0,116,328,8,8288,0
